Date,Alex Haley,Alice Walker,Ann Petry,Barbara Neely,Charles Chesnutt,Charles R. Johnson,Chester Himes,Claude McKay,Colson Whitehead,David Bradley,Edward P. Jones,Edwidge Danticat,Ernest J. Gaines,Gayl Jones,George Schuyler,Gloria Naylor,Gwendolyn Brooks,Henry Dumas,Ishmael Reed,Jacqueline Woodson,James Baldwin,James Weldon Johnson,Jean Toomer,Jesmyn Ward,John A. Williams,John Oliver Killens,Langston Hughes,Margaret Walker,Marlon James,Nalo Hopkinson,Nella Larsen,Octavia E. Butler,Paul Beatty,Paul Laurence Dunbar,Paule Marshall,Pauline Hopkins,Ralph Ellison,Richard Wright,Rudolph Fisher,Sister Souljah,Suzan-Lori Parks,Tayari Jones,Terry McMillan,Toni Cade Bambara,Toni Morrison,W.E.B. Bois,Walter Mosley,Zora Neale Hurston
1/1/2018,21270,46765,948,252,204,1096,4107,9545,12684,374,1693,6095,3549,916,2512,2323,9450,681,2554,5149,172826,10732,3286,19430,48,418,95310,1634,124,1590,3382,23182,5883,9924,902,893,14183,19310,618,11508,2781,2129,5892,2228,56433,44,6087,54269
2/1/2018,59415,51623,1137,228,134,1099,3291,13279,13794,343,1680,4388,3457,1072,2164,1825,16085,740,3240,5476,172769,19769,4564,13438,26,595,141767,3287,97,2022,3812,27411,4650,16863,1026,1239,17356,24456,1024,8969,3245,9171,5033,2461,61028,83,7820,65400
3/1/2018,23541,46376,1080,241,141,1266,2997,10159,11023,309,1555,4540,3081,1099,1575,1486,10380,754,3099,10079,82819,10416,3627,10729,32,461,90768,2157,113,2208,5818,22603,4760,10008,995,856,13626,20875,692,8019,3921,6298,4810,2507,56701,48,6688,42350
4/1/2018,22371,45362,1093,247,124,1111,3473,8631,11388,308,1551,4646,2953,1268,1492,1548,9221,676,2709,8923,78722,10682,3241,14337,33,1149,76759,1858,83,1353,3565,20792,4667,9141,1092,795,12717,18603,636,8289,4473,4706,3841,2533,49997,57,8807,37021
5/1/2018,17969,41877,1049,209,102,932,2986,6726,9402,204,1518,4980,2727,926,1221,1212,8627,702,2823,4723,70755,7684,2964,16170,35,405,63571,1693,78,1682,2787,19148,4703,8205,760,582,16681,17616,656,7459,3805,5181,3923,2049,47687,43,5161,62052
6/1/2018,15480,36215,631,145,125,848,2827,3908,7566,191,1306,3220,2010,694,1092,1032,7188,509,2310,3838,62720,6017,1853,8769,19,369,36836,1128,89,1676,1803,472371,3856,6638,606,450,12809,13480,252,7468,3281,3975,4800,1368,37547,37,5804,24856
7/1/2018,17475,33758,836,200,114,956,3227,3184,7847,206,1642,2965,1930,609,1155,1143,4627,654,2668,3185,59595,5112,1828,9071,25,326,47140,1382,122,1687,1896,29257,4564,4957,665,550,10494,12449,310,10586,2761,4310,5442,1363,36958,41,6957,25610
8/1/2018,17222,40124,712,187,106,810,2765,3382,7640,483,1676,3199,2542,671,1206,1155,5340,550,2415,3097,138620,6170,1923,10324,25,372,50672,1413,85,1647,2725,21501,4072,5919,611,507,11280,13857,388,7837,2459,4062,6671,1982,38011,29,7883,24116
9/1/2018,15334,44200,819,219,101,789,2799,5368,7649,394,1846,4223,2014,772,1110,1339,5872,703,2257,6459,77287,5863,2650,7182,23,409,53577,1257,93,1526,2175,17159,3792,7574,656,787,13993,16186,553,6739,3353,3621,5002,2635,38032,35,6112,26548
10/1/2018,15267,62807,1248,219,128,1074,2755,7041,8361,226,1810,3655,2135,1001,1301,1343,6796,646,2812,4325,74611,6969,2844,7230,25,588,54435,1292,73,1525,2817,18300,4378,7342,880,992,13377,15593,667,14380,3975,3916,3260,2736,45126,33,6235,30001
11/1/2018,16222,46815,2433,215,138,787,2482,6529,6926,242,1504,3474,2128,911,1369,1359,6876,716,2868,3651,68580,6717,2805,6838,19,418,53249,1406,97,1420,2558,18539,3249,7278,817,643,12265,14678,580,10824,3675,3943,5276,2418,47227,33,5489,27461
12/1/2018,19542,71076,949,189,108,754,2446,5505,6811,221,1284,2954,2224,756,1063,1286,6512,756,2814,3379,103441,5937,5118,6813,27,467,46156,1335,107,1524,2305,18852,3538,5658,645,575,11446,14648,671,9323,3434,4415,3487,2138,43209,38,5109,25635
1/1/2019,19009,44301,1064,188,128,805,3491,7145,8326,282,1648,3964,3427,860,1399,1634,8526,684,5957,4824,166973,10128,4078,7468,21,543,75859,1876,320,1593,2553,19693,4262,7779,792,768,13360,22240,642,9121,3855,5319,3392,2263,63082,46,5790,37711
2/1/2019,52843,49891,1608,296,140,800,3481,11196,7575,376,1608,3741,3143,1164,2114,1642,17199,820,4515,5086,211621,19091,4327,7531,22,679,155948,2619,680,1525,3863,24384,3489,14603,874,1011,21041,25135,870,8092,4325,4447,5658,2731,77134,58,6163,57933
3/1/2019,21075,43316,1197,183,132,812,2724,8699,8213,290,1729,3849,2653,1299,1525,1472,9159,781,4028,4528,107025,9427,3384,6759,42,627,81530,1747,389,1603,3627,23292,3246,8710,871,886,17202,20240,758,14105,5395,4710,5389,2639,53252,40,5140,38987
4/1/2019,24953,36566,1503,217,141,899,2578,8654,8509,277,1330,3663,2613,995,1206,1375,8313,1113,2564,4691,77241,9326,3212,5890,33,556,63357,1770,213,1576,3004,19940,2904,7346,911,871,13083,28888,574,8178,8138,4140,4786,2566,52464,42,5124,30720
5/1/2019,17722,34919,1058,336,121,841,2753,5709,6577,162,1247,3384,2083,751,1096,1245,7234,765,2540,4004,66940,7437,2533,5238,22,367,55513,1306,231,1422,2461,19258,3022,6680,769,702,11266,15999,486,7800,3468,4125,6743,2411,44418,30,5072,30768
6/1/2019,15300,30789,682,203,93,616,2391,3991,9843,217,1226,2516,1788,669,969,1129,5854,721,3837,2628,56221,6320,1782,4940,17,294,38589,1035,127,1377,1639,20650,3110,7136,598,455,12667,12346,266,7109,2158,6114,3336,1682,40517,20,4828,22614
7/1/2019,16103,34529,791,207,121,763,2692,4134,55232,208,1335,2662,1700,787,1187,1336,4527,779,3383,2680,53838,5827,2046,4997,21,317,45817,1599,108,1252,1481,18180,3152,5213,616,546,9322,11535,341,7220,2112,4319,4585,1695,52323,18,6695,21471
8/1/2019,20995,50327,733,205,117,811,2641,3696,23211,191,1418,4196,2060,2192,1114,1813,4778,7107,2648,3167,99947,5580,2256,6666,25,370,45392,1387,135,1335,1636,18400,3345,5943,7702,528,10730,13208,270,6058,2638,4228,10136,3985,1125514,34,7938,28046
