author,views
Charles R. Johnson,26.2
Charles R. Johnson,30.0
Charles R. Johnson,27.1
Charles R. Johnson,20.5
Charles R. Johnson,24.6
Charles R. Johnson,26.2
Charles R. Johnson,33.8
Charles R. Johnson,37.5
Charles R. Johnson,29.4
Charles R. Johnson,28.0
Charles R. Johnson,33.0
Charles R. Johnson,34.7
Charles R. Johnson,22.7
Charles R. Johnson,31.9
Charles R. Johnson,27.5
Charles R. Johnson,43.2
Charles R. Johnson,42.5
Charles R. Johnson,33.8
Charles R. Johnson,37.0
Charles R. Johnson,40.5
Charles R. Johnson,31.4
Charles R. Johnson,32.6
Charles R. Johnson,38.6
Charles R. Johnson,43.2
Charles R. Johnson,39.4
Charles R. Johnson,30.6
Charles R. Johnson,31.0
Charles R. Johnson,33.4
Charles R. Johnson,38.5
Charles R. Johnson,27.4
Charles R. Johnson,29.2
Charles R. Johnson,28.4
Charles R. Johnson,39.6
Charles R. Johnson,28.6
Charles R. Johnson,31.7
Charles R. Johnson,56.6
Charles R. Johnson,42.0
Chester Himes,92.8
Chester Himes,85.9
Chester Himes,92.9
Chester Himes,112.8
Chester Himes,108.5
Chester Himes,100.4
Chester Himes,104.9
Chester Himes,118.8
Chester Himes,89.1
Chester Himes,80.9
Chester Himes,79.4
Chester Himes,77.5
Chester Himes,87.8
Chester Himes,96.4
Chester Himes,90.5
Chester Himes,316.2
Chester Himes,138.2
Chester Himes,116.3
Chester Himes,114.6
Chester Himes,122.9
Chester Himes,108.5
Chester Himes,107.8
Chester Himes,79.5
Chester Himes,84.3
Chester Himes,241.2
Chester Himes,146.8
Chester Himes,126.6
Chester Himes,108.4
Chester Himes,92.9
Chester Himes,82.8
Chester Himes,132.5
Chester Himes,117.5
Chester Himes,96.7
Chester Himes,115.8
Chester Himes,96.3
Chester Himes,94.2
Chester Himes,104.1
Chester Himes,89.2
Chester Himes,93.3
Chester Himes,88.9
Chester Himes,82.7
Chester Himes,78.9
Chester Himes,112.6
Chester Himes,124.3
Chester Himes,87.9
Chester Himes,85.9
Chester Himes,88.8
Chester Himes,79.7
Chester Himes,86.8
Chester Himes,85.2
Chester Himes,78.0
Chester Himes,86.8
Chester Himes,81.2
Chester Himes,74.1
Chester Himes,80.1
Chester Himes,92.5
Chester Himes,79.4
Chester Himes,103.2
Chester Himes,92.7
Chester Himes,154.4
Chester Himes,121.8
Chester Himes,106.3
Chester Himes,94.3
Chester Himes,100.8
Chester Himes,101.7
Chester Himes,194.6
Chester Himes,109.0
Chester Himes,160.5
Chester Himes,151.3
Chester Himes,171.9
Chester Himes,124.0
Chester Himes,102.2
Chester Himes,128.6
Chester Himes,96.8
Chester Himes,118.5
Chester Himes,104.3
Chester Himes,89.4
Chester Himes,89.5
Chester Himes,94.1
Chester Himes,121.6
Chester Himes,117.0
Claude McKay,110.4
Claude McKay,99.7
Claude McKay,169.0
Claude McKay,233.3
Claude McKay,232.6
Claude McKay,186.1
Claude McKay,240.3
Claude McKay,390.0
Claude McKay,291.8
Claude McKay,245.5
Claude McKay,202.4
Claude McKay,119.0
Claude McKay,98.3
Claude McKay,113.7
Claude McKay,173.8
Claude McKay,233.0
Claude McKay,238.7
Claude McKay,201.9
Claude McKay,415.5
Claude McKay,473.1
Claude McKay,348.2
Claude McKay,257.3
Claude McKay,238.4
Claude McKay,132.7
Claude McKay,109.7
Claude McKay,112.8
Claude McKay,199.6
Claude McKay,243.9
Claude McKay,268.9
Claude McKay,210.9
Claude McKay,307.9
Claude McKay,474.3
Claude McKay,327.7
Claude McKay,287.7
Claude McKay,217.0
Claude McKay,130.3
Claude McKay,102.7
Claude McKay,109.1
Claude McKay,178.9
Claude McKay,227.1
Claude McKay,217.6
Claude McKay,177.6
Claude McKay,230.5
Claude McKay,399.9
Claude McKay,280.6
Claude McKay,288.5
Claude McKay,184.2
Claude McKay,133.0
Claude McKay,133.4
Claude McKay,119.2
Claude McKay,171.9
Claude McKay,217.9
Claude McKay,225.7
Claude McKay,190.5
Claude McKay,250.4
Claude McKay,541.0
Claude McKay,263.3
Claude McKay,241.0
Claude McKay,217.6
Claude McKay,275.4
Claude McKay,189.2
Claude McKay,171.4
Claude McKay,216.0
Claude McKay,239.5
